Position in expansion tray ,Position in stocks,Stock ,Neuron,SplitID,,,,
T1/A1,T2/C1,SS01705,MBON-d1,SS01705,11E07,52 H01,Eschbach et al. 2021. eLife,
T1/A2,T2/A6,ss01417,MBON-a2,SS01417,52E12,93 G12,Eschbach et al. 2021. eLife,
T1/A3,t2/b10,ss01702,MBIN-e2 + DAN-c1,SS01702,14E06,53C05,Eschbach et al. 2020. Nat. Neuro.,
T1/A4,t2/c05,ss01716,DAN-g1,SS01716,14E06,14E06,Eschbach et al. 2020. Nat. Neuro.,
T1/A5,t4/a6,ss01973,MBON-j1,SS01973,VT057469,R18D09,Saumweber et al. 2018. Nat. Comms. ,
T1/A6,t4/c04,ss02121,"MBON-g1, g2",SS02121,R21D06,R23B09,Saumweber et al. 2018. Nat. Comms. ,
T1/A7,t4/a05,ss01972,MBON-j1,SS01972,128 F10,12 C11,Eschbach et al. 2021. eLife,
T1/A8,t4/b9,ss02006,MBON-a1,SS02006,93 G12,71E06,Eschbach et al. 2021. eLife,
T1/A9,t4/c6,ss02181,FB2IN-11/-18 + MB2IN-207,SS02181,78G04,119C11,Eschbach et al. 2020. Nat. Neuro.,
T1/A10,t4/c05,ss02180,DAN-f1,SS02180,76F05,129C09,Eschbach et al. 2020. Nat. Neuro.,
T1/B1,t3/a06,ss01745,OLP,SS01745,,,Larderet et al. 2017. eLife,projection OLP
T1/B2,t3/a4,ss01740,SP2-1,SS01740,,,Larderet et al. 2017. eLife,Serotonin
T1/B3,t3/a10,ss01757,DAN-k1,SS01757,R48F09,R27A11,Saumweber et al. 2018. Nat. Comms. ,
T1/B4,t3/c10,ss01962,MBON-k1,SS01962,VT033301,27 G01,Eschbach et al. 2021. eLife,
T1/B5,t3/b5,ss01776,MBON-c1,SS01776,74B11,20 F01,Eschbach et al. 2021. eLife,
T1/B6,t3/b7,ss01778,FB2IN-11 + FB2IN-18,SS01778,78G04,22E12,Eschbach et al. 2020. Nat. Neuro.,
T1/B7,t2/c8,ss01724,IOLP,SS01724,,,Larderet et al. 2017. eLife,glutamatergic IOLP
T1/B8,t2/b6,ss01671,APL,SS01671,R21D02,R55D08,Saumweber et al. 2018. Nat. Comms. ,
T1/B9,t2/c9,ss01725,"MBON-h1, h2",SS01725,R20A02,R28A10,Saumweber et al. 2018. Nat. Comms. ,
T1/B10,t2/c2,ss01696,DAN-h1,SS01696,R76F05,R95H02,Saumweber et al. 2018. Nat. Comms. ,
T1/C1,T7/A2,ss04231,MBON-d2,SS04231,121 A04,87 G02,Eschbach et al. 2021. eLife,
T1/C2,T7/B9,ss04330,MB2ON-86,SS04330,117H07,40F09,Eschbach et al. 2020. Nat. Neuro.,
T1/C3,T17/A08,ss02108,CN-4+ MB2ON-86,SS02108,13D05,40 F09,Eschbach et al. 2021. eLife,
T1/C4,T1/A1,ss00671,PVL09,SS00671,,,Larderet et al. 2017. eLife,
T1/C5,T9/c10,Mb065B,DAN-f1 + DAN-c1,MB065b,14E06,72B05,Eschbach et al. 2020. Nat. Neuro.,
T1/C6,T5/b7,MB303B,,MB303B,R73F07,R38E08,Tastekin et al. 2018. eLife,MBE
T1/C7,t5/a01,ss02130,MBON-g1 or g2,SS02130,23B09,21D06,Eschbach et al. 2021. eLife,
T1/C8,t5/c10,MB328B,DAN-d1,MB328b,82C10,32F01,Eschbach et al. 2020. Nat. Neuro.,
T1/C9,t5/b4,MB143B,DAN-d1,MB143b,15B01,32F01,Eschbach et al. 2020. Nat. Neuro.,
T1/C10,T3/b6,ss01777,VPLN,SS01777,,,Larderet et al. 2017. eLife,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
T2/A2,t22/b3,ss01948,DAN-h1 + DAN-i1 + DAN-k1,SS01948,105C04,107F07,Eschbach et al. 2020. Nat. Neuro.,
T2/A3,t22/b2,ss02401,FB2IN-19,SS02401,121D03,125G01,Eschbach et al. 2020. Nat. Neuro.,
T2/A4,t22/b5,ss00864,DAN-i1,SS00864,13D05,36B06,Eschbach et al. 2020. Nat. Neuro.,
T2/A5,t22/b6,ss24027,MBON-d3,SS24027,111B05,100 H11,Eschbach et al. 2021. eLife,
T2/A6,t22/b9,ss00928,"MBON-h1, h2",SS00928,R20A02,R28A10,Saumweber et al. 2018. Nat. Comms. ,
