condition,condition_2,mapping
19-12-gal4,19-12-gal4,
26259,26259,
45873,45873,
48877,48877,
49766,49766,
49826,49826,
49828,49828,
50377,50377,
57618,57618,
602023,602023,
602566,602566,
602572,602572,
602999,602999,
603021,603021,
603217,SS00674,
603218,603218,
603766,603766,
604176,SS00740,
604181,604181,
604183,604183,
73947,73947,
854,854,
8769,8769,
empty-1,empty-gal4,
empty-2,empty-gal4,
empty-gal4-1,empty-gal4,
empty-gal4-2,empty-gal4,
mb196c,mb196c,
split-1,split-control,
split-2,split-control,
split-control-1,split-control,
split-control-2,split-control,
ss001984,ss001984,
ss00674,SS00674,
ss00721,ss00721,
ss00721-1,ss00721,
ss00721-2,ss00721,
ss00739,ss00739,
ss00740,SS00740,
ss00740-1,SS00740,
ss00740-2,SS00740,
ss00878,ss00878,
ss00878-1,ss00878,
ss00878-2,ss00878,
ss00886,ss00886,
ss00911,ss00911,
ss00911-1,ss00911,
ss00911-2,ss00911,
ss00911-3,ss00911,
ss00918,ss00918,
ss01378,ss01378,
ss01401,ss01401,
ss01632,ss01632,
ss01645,ss01645,
ss01732,ss01732,
ss01762,ss01762,
ss01943,ss01943,
ss01978,ss01978,
ss01984,ss01984,
ss01989,ss01989,
ss03731,ss03731,
ss03767,ss03767,
ss04047,ss04047,
ss04068,ss04068,
ss04230,ss04230,
ss04330,ss04330,
ss04497,ss04497,
ss04497-1,ss04497,
ss04497-2,ss04497,
ss21785,ss21785,
ss25232,ss25232,
ss25232-1,ss25232,
ss25232-2,ss25232,
ss25725,ss25725,
ss25755,ss25755,
ss27197,ss27197,
ss38042,ss38042,
ss38410,ss38410,
ss42527,ss42527,
ss52506,ss52506,
ss52511,ss52511,
ss53257,ss53257,
ss55086,ss55086,
