,condition,successful,failed,total_completed,expected_successful,left_to_do,ready
0,19-12-gal4,0,18,18,18,18,no
1,26259,4,8,12,18,14,no
2,45873,3,3,6,18,15,no
3,48877,6,6,12,18,12,no
4,49766,6,12,18,18,12,no
5,49826,1,11,12,18,17,no
6,49828,9,3,12,18,9,no
7,50377,7,11,18,18,11,no
8,57618,10,2,12,18,8,no
9,602023,6,0,6,18,12,no
10,603766,6,0,6,18,12,no
11,73947,8,10,18,18,10,no
12,854,1,11,12,18,17,no
13,8769,11,7,18,18,7,no
14,empty-gal4,25,11,36,18,-7,yes
15,mb196c,9,3,12,18,9,no
16,split-control,34,2,36,18,-16,yes
17,ss00674,11,1,12,18,7,no
18,ss00721,2,4,6,18,16,no
19,ss00739,1,5,6,18,17,no
20,ss00740,5,7,12,18,13,no
21,ss00878,4,2,6,18,14,no
22,ss00911,1,5,6,18,17,no
23,ss00918,4,8,12,18,14,no
24,ss01378,5,7,12,18,13,no
25,ss01401,8,4,12,18,10,no
26,ss01632,4,2,6,18,14,no
27,ss01645,10,2,12,18,8,no
28,ss01732,7,11,18,18,11,no
29,ss01762,2,10,12,18,16,no
30,ss01943,4,2,6,18,14,no
31,ss01978,10,8,18,18,8,no
32,ss01984,9,3,12,18,9,no
33,ss03731,16,2,18,18,2,no
34,ss03767,7,5,12,18,11,no
35,ss04047,16,2,18,18,2,no
36,ss04068,2,10,12,18,16,no
37,ss04230,10,2,12,18,8,no
38,ss04330,8,4,12,18,10,no
39,ss04497,8,4,12,18,10,no
40,ss21785,6,0,6,18,12,no
41,ss25232,6,6,12,18,12,no
42,ss25755,4,8,12,18,14,no
43,ss27197,8,4,12,18,10,no
44,ss38042,6,0,6,18,12,no
45,ss42527,3,3,6,18,15,no
46,ss52506,3,3,6,18,15,no
47,ss52511,6,6,12,18,12,no
48,ss53257,5,1,6,18,13,no
49,ss55086,8,4,12,18,10,no
