,condition,successful,failed,total_completed,expected_successful,ready,pending,potential_successful,left_to_do
0,ss38042,6,0,6,18,no,0,6,12
1,49826,1,17,18,18,no,6,7,11
2,ss00886,3,3,6,18,no,5,8,10
3,19-12-gal4,0,24,24,18,no,9,9,9
4,49828,9,9,18,18,no,0,9,9
5,ss38410,4,2,6,18,no,6,10,8
6,ss01989,6,0,6,18,no,5,11,7
7,603766,6,0,6,18,no,6,12,6
8,49766,7,17,24,18,no,6,13,5
9,854,2,16,18,18,no,12,14,4
10,ss00918,4,14,18,18,no,10,14,4
11,ss01401,8,4,12,18,no,6,14,4
12,ss55086,8,4,12,18,no,6,14,4
13,ss52511,9,9,18,18,no,6,15,3
14,ss52506,3,3,6,18,no,12,15,3
15,ss01984,9,3,12,18,no,6,15,3
16,8769,15,9,24,18,no,0,15,3
17,ss04068,4,14,18,18,no,12,16,2
18,ss04047,16,2,18,18,no,0,16,2
19,ss01378,10,8,18,18,no,6,16,2
20,50377,11,13,24,18,no,6,17,1
21,ss27197,11,7,18,18,no,6,17,1
22,45873,7,5,12,18,no,10,17,1
23,26259,5,13,18,18,no,12,17,1
24,73947,11,13,24,18,no,6,17,1
25,ss00739,6,12,18,18,no,11,17,1
26,ss01762,5,13,18,18,no,12,17,1
27,ss01732,11,13,24,18,no,6,17,1
28,ss04230,13,5,18,18,no,6,19,-1
29,ss01645,13,5,18,18,no,6,19,-1
30,ss04330,8,4,12,18,no,12,20,-2
31,ss53257,8,3,11,18,no,12,20,-2
32,ss42527,8,4,12,18,no,12,20,-2
33,ss03731,20,4,24,18,yes,0,20,-2
34,ss00674,15,3,18,18,no,6,21,-3
35,57618,15,3,18,18,no,6,21,-3
36,ss21785,9,3,12,18,no,12,21,-3
37,602023,10,2,12,18,no,11,21,-3
38,mb196c,9,3,12,18,no,12,21,-3
39,48877,6,6,12,18,no,16,22,-4
40,ss00721,6,6,12,18,no,16,22,-4
41,ss01632,7,5,12,18,no,17,24,-6
42,ss25755,9,9,18,18,no,16,25,-7
43,ss01943,8,4,12,18,no,17,25,-7
44,ss03767,11,7,18,18,no,15,26,-8
45,ss00911,4,8,12,18,no,22,26,-8
46,ss00740,5,7,12,18,no,22,27,-9
47,ss01978,16,8,24,18,no,11,27,-9
48,ss04497,12,6,18,18,no,16,28,-10
49,ss00878,7,5,12,18,no,23,30,-12
50,ss25232,11,7,18,18,no,20,31,-13
51,empty-gal4,35,13,48,18,yes,32,67,-49
52,split-control,42,6,48,18,yes,32,74,-56
