,condition,successful,failed,total_completed,expected_successful,ready,pending,potential_successful,left_to_do
0,ss25725,0,6,6,18,no,0,0,18
1,854,5,25,30,18,no,0,5,13
2,ss38042,6,0,6,18,no,0,6,12
3,ss00888,4,8,12,18,no,6,10,8
4,ss38410,6,6,12,18,no,10,16,2
5,26259,7,17,24,18,no,9,16,2
6,ss01732,11,13,24,18,no,9,20,-2
7,49766,6,18,24,18,no,14,20,-2
8,ss04497,16,14,30,18,no,4,20,-2
9,ss25755,17,13,30,18,no,4,21,-3
10,ss03767,17,13,30,18,no,4,21,-3
11,ss01978,16,14,30,18,no,5,21,-3
12,48877,16,8,24,18,no,5,21,-3
13,ss01401,8,4,12,18,no,14,22,-4
14,45873,11,7,18,18,no,11,22,-4
15,ss00721,16,8,24,18,no,6,22,-4
16,ss01943,16,8,24,18,no,6,22,-4
17,ss01762,11,13,24,18,no,11,22,-4
18,ss00740,14,16,30,18,no,9,23,-5
19,57618,14,4,18,18,no,9,23,-5
20,19-12-gal4,0,36,36,18,no,23,23,-5
21,602023,12,6,18,18,no,11,23,-5
22,ss00918,8,16,24,18,no,15,23,-5
23,ss00886,8,4,12,18,no,15,23,-5
24,ss21785,15,3,18,18,no,9,24,-6
25,ss04230,13,5,18,18,no,11,24,-6
26,ss04330,13,5,18,18,no,11,24,-6
27,ss01645,13,5,18,18,no,11,24,-6
28,ss53257,13,4,17,18,no,11,24,-6
29,ss00878,19,11,30,18,yes,5,24,-6
30,ss25232,18,18,36,18,yes,6,24,-6
31,ss27197,10,8,18,18,no,15,25,-7
32,mb196c,14,4,18,18,no,11,25,-7
33,ss04068,10,14,24,18,no,15,25,-7
34,ss01984,15,3,18,18,no,10,25,-7
35,ss52511,9,9,18,18,no,16,25,-7
36,ss42527,13,5,18,18,no,12,25,-7
37,ss01378,10,8,18,18,no,15,25,-7
38,ss00739,9,15,24,18,no,16,25,-7
39,ss01989,9,3,12,18,no,16,25,-7
40,73947,11,13,24,18,no,15,26,-8
41,8769,15,9,24,18,no,11,26,-8
42,ss52506,9,3,12,18,no,17,26,-8
43,ss03731,20,4,24,18,yes,6,26,-8
44,50377,10,14,24,18,no,16,26,-8
45,ss55086,8,4,12,18,no,18,26,-8
46,ss01632,16,8,24,18,no,11,27,-9
47,ss04047,16,2,18,18,no,11,27,-9
48,ss00911,16,14,30,18,no,12,28,-10
49,603766,6,0,6,18,no,22,28,-10
50,49826,1,17,18,18,no,30,31,-13
51,ss00674,23,7,30,18,yes,9,32,-14
52,49828,8,10,18,18,no,28,36,-18
53,empty-gal4,50,22,72,18,yes,32,82,-64
54,split-control,58,14,72,18,yes,31,89,-71
