,condition,successful,failed,total_completed,expected_successful,ready,pending,potential_successful,left_to_do
0,ss25725,0,6,6,18,no,0,0,18
1,854,5,25,30,18,no,0,5,13
2,ss38042,6,0,6,18,no,0,6,12
3,ss00888,4,8,12,18,no,3,7,11
4,49826,1,29,30,18,no,7,8,10
5,19-12-gal4,1,47,48,18,no,10,11,7
6,26259,10,26,36,18,no,2,12,6
7,ss38410,6,12,18,18,no,7,13,5
8,49766,10,26,36,18,no,6,16,2
9,ss01732,13,17,30,18,no,4,17,1
10,ss01762,16,14,30,18,no,2,18,0
11,ss52511,15,9,24,18,no,4,19,-1
12,ss04330,18,12,30,18,yes,2,20,-2
13,ss00886,8,4,12,18,no,12,20,-2
14,ss52506,13,11,24,18,no,7,20,-2
15,ss04497,20,16,36,18,yes,0,20,-2
16,ss25755,20,16,36,18,yes,0,20,-2
17,ss01978,20,16,36,18,yes,0,20,-2
18,ss27197,12,18,30,18,no,9,21,-3
19,ss03767,21,15,36,18,yes,0,21,-3
20,ss01943,21,9,30,18,yes,0,21,-3
21,45873,17,13,30,18,no,4,21,-3
22,49828,13,11,24,18,no,8,21,-3
23,ss00721,22,8,30,18,yes,0,22,-4
24,ss55086,11,7,18,18,no,11,22,-4
25,ss00918,12,18,30,18,no,10,22,-4
26,50377,17,19,36,18,no,6,23,-5
27,ss01401,16,8,24,18,no,7,23,-5
28,73947,17,19,36,18,no,6,23,-5
29,ss21785,21,9,30,18,yes,2,23,-5
30,602023,19,11,30,18,yes,4,23,-5
31,ss25232,23,19,42,18,yes,0,23,-5
32,ss00878,24,12,36,18,yes,0,24,-6
33,ss04068,18,18,36,18,yes,6,24,-6
34,ss04230,20,10,30,18,yes,4,24,-6
35,ss01632,21,15,36,18,yes,3,24,-6
36,603766,15,9,24,18,no,9,24,-6
37,48877,25,11,36,18,yes,0,25,-7
38,ss00739,16,20,36,18,no,9,25,-7
39,ss00740,20,22,42,18,yes,5,25,-7
40,57618,20,10,30,18,yes,5,25,-7
41,ss04047,19,5,24,18,yes,6,25,-7
42,ss03731,23,7,30,18,yes,2,25,-7
43,ss01378,19,11,30,18,yes,6,25,-7
44,ss01989,13,5,18,18,no,13,26,-8
45,ss01645,20,10,30,18,yes,6,26,-8
46,ss01984,20,4,24,18,yes,6,26,-8
47,ss42527,22,8,30,18,yes,5,27,-9
48,mb196c,21,9,30,18,yes,6,27,-9
49,ss53257,23,6,29,18,yes,4,27,-9
50,ss00911,23,19,42,18,yes,4,27,-9
51,8769,18,12,30,18,yes,9,27,-9
52,ss00674,30,12,42,18,yes,5,35,-17
53,empty-gal4,65,31,96,18,yes,8,73,-55
54,split-control,74,22,96,18,yes,8,82,-64
