,condition,comment_clean,n
2,19-12-gal4,not enough pupae,49
0,19-12-gal4,camera issue,5
4,19-12-gal4,pupae rec missing,5
6,19-12-gal4,ssh issue,4
1,19-12-gal4,general pi issue,3
3,19-12-gal4,pupae rec duplicate,1
5,19-12-gal4,script issue,1
7,19-12-gal4,too many pupae,1
8,26259,not enough pupae,22
9,26259,pupae rec missing,2
12,26259,video issue,2
10,26259,ssh issue,1
11,26259,too many pupae,1
14,45873,not enough pupae,5
18,45873,too many pupae,3
15,45873,pupae rec missing,2
13,45873,camera issue,1
16,45873,script issue,1
17,45873,ssh issue,1
19,45873,video issue,1
22,48877,pupae rec missing,4
21,48877,not enough pupae,3
20,48877,general pi issue,1
23,48877,script issue,1
24,48877,ssh issue,1
25,48877,too many pupae,1
28,49766,not enough pupae,14
30,49766,pupae rec missing,10
26,49766,camera issue,4
32,49766,video issue,3
27,49766,general pi issue,1
29,49766,pupae rec duplicate,1
31,49766,script issue,1
34,49826,not enough pupae,41
35,49826,pupae rec missing,8
33,49826,camera issue,5
36,49826,script issue,3
37,49826,ssh issue,1
41,49828,not enough pupae,15
38,49828,camera issue,5
45,49828,ssh issue,5
46,49828,too many pupae,5
44,49828,script issue,2
39,49828,general pi issue,1
40,49828,general pupae rec error,1
42,49828,pupae rec duplicate,1
43,49828,pupae rec missing,1
47,49828,video issue,1
50,50377,not enough pupae,9
51,50377,pupae rec missing,6
48,50377,camera issue,3
52,50377,script issue,3
54,50377,video issue,3
49,50377,general pi issue,1
53,50377,too many pupae,1
56,57618,not enough pupae,5
55,57618,camera issue,3
57,57618,script issue,1
58,57618,ssh issue,1
59,57618,video issue,1
62,602023,not enough pupae,4
61,602023,general pi issue,3
60,602023,camera issue,2
64,602023,ssh issue,2
63,602023,pupae rec missing,1
65,602023,video issue,1
68,603766,not enough pupae,5
66,603766,camera issue,3
70,603766,ssh issue,3
71,603766,too many pupae,3
69,603766,script issue,2
67,603766,general pi issue,1
74,73947,not enough pupae,12
72,73947,camera issue,3
76,73947,script issue,3
78,73947,too many pupae,3
75,73947,pupae rec missing,2
77,73947,ssh issue,2
73,73947,general pi issue,1
79,73947,video issue,1
81,854,not enough pupae,16
82,854,pupae rec missing,3
80,854,camera issue,2
83,854,ssh issue,2
84,854,video issue,1
87,8769,not enough pupae,7
85,8769,camera issue,4
88,8769,pupae rec missing,3
86,8769,connection issue,1
89,8769,ssh issue,1
90,8769,too many pupae,1
92,empty-gal4,not enough pupae,27
91,empty-gal4,camera issue,7
93,empty-gal4,pupae rec missing,5
95,empty-gal4,ssh issue,4
94,empty-gal4,script issue,3
97,empty-gal4,video issue,3
96,empty-gal4,too many pupae,2
98,mb196c,not enough pupae,4
100,mb196c,ssh issue,2
