,comment,n,comment_clean
0,not enough pupae,400,not enough pupae
1,no pupae rec,59,pupae rec missing
2,camera issue,42,camera issue
3,pupae count likely failed,29,pupae rec missing
4,no pupae,25,not enough pupae
5,too many pupae,23,too many pupae
6,ssh timeout,22,ssh issue
7,manually added but data lost - not enough pupae,20,pupae rec missing
8,Cannot start recordings due to rig_num error,19,script issue
9,Too many,18,too many pupae
10,camera issue; not enough pupae,15,camera issue
11,"Too many, not counted",13,too many pupae
12,camera,12,camera issue
13,"Too many, not recorded",12,too many pupae
14,not enough pupae; Can't tell if it acquired image - script had an error,11,script issue
15,ssh issue,11,ssh issue
16,ssh timeout; not enough pupae,10,ssh issue
17,too few pupae,8,not enough pupae
18,camera timeout,8,camera issue
19,ssh connection,7,ssh issue
20,"Unsure if data went through, as glitch on script; not enough pupae",6,script issue
21,camera; not enough pupae,6,camera issue
22,not enough so added manually,5,not enough pupae
23,Leave more eggs than expected - seems like not very viable; not enough pupae,5,not enough pupae
24,"Unsure if data went through, as glitch on script",5,script issue
25,"<100, can't count strong phenotype",5,not enough pupae
26,Leave more eggs than expected - seems like not very viable; no pupae,5,not enough pupae
27,started late because of camera issue; no pupae rec,4,camera issue
28,only 24 images,3,video issue
29,Leave more eggs than expected - seems like not very viable; could not find pupae rec,3,not enough pupae
30,camera issue.,3,camera issue
31,not enough pupae; Cannot start recordings due to rig_num error,3,script issue
32,connection issue,3,connection issue
33,started late pi issues; not enough pupae,2,general pi issue
34,"Too many, not counted; camera issue",2,too many pupae
35,memory issue,2,general pi issue
36,"started late, camera timeout; no pupae rec",2,camera issue
37,no pupae count,2,pupae rec missing
38,too many,2,too many pupae
39,camera; no pupae rec,2,pupae rec missing
40,ssh timeout; too many pupae,2,ssh issue
41,camera timeout; not enough pupae,2,camera issue
42,cannot find pupae recs,2,pupae rec missing
43,"started late, camera issue",2,camera issue
44,connection,2,connection issue
45,only 4 images,2,video issue
46,only 3 images,2,video issue
47,no data folder created,2,general pi issue
48,pupae rec missing,2,pupae rec missing
49,started late; not enough pupae,2,not enough pupae
50,ssh connection; not enough pupae,2,ssh issue
51,not enough pupae; permission issue,2,general pi issue
52,too few,2,not enough pupae
53,camera issue; too many pupae,2,camera issue
54,"not enough pupae; Unsure if data went through, as glitch on script",2,not enough pupae
55,Camera issue,2,camera issue
56,could not find pupae rec,2,pupae rec missing
57,Can't tell if it acquired image - script had an error; not enough pupae,2,script issue
58,not enough pupaeLeave more eggs than expected - seems like not very viable,1,not enough pupae
59,ssh issue; not enough pupae,1,ssh issue
60,"many eggs, have not removed; not enough pupae",1,too many pupae
61,too many not recorded,1,too many pupae
62,only 1 image,1,video issue
63,camera. also no images?,1,camera issue
64,started late because of camera issues; too many pupae,1,camera issue
65,"started late, memory issue; too many not counted",1,general pi issue
66,started late; 576 images only,1,video issue
67,517 images only,1,video issue
68,started late; 314 images only ; not enough pupae,1,video issue
69,pupae rec data missing?,1,pupae rec missing
70,only 781 images,1,video issue
71,only 18 images; not enough pupae,1,video issue
72,"changed pi as camera timeout; Too many, not recorded",1,camera issue
73,only 1416 images,1,video issue
74,"started late, pi issues; not enough pupae",1,general pi issue
75,ssh issue. not enough pupae,1,ssh issue
76,"many eggs, have not removed; No images?",1,too many pupae
77,"ssh issue, could not get into pi; not enough pupae",1,ssh issue
78,"started late, camera issue; too many not counted",1,camera issue
79,"started late because had to change pi, ssh timeout",1,general pi issue
80,"started late because of ssh issue; Too many, not recorded",1,ssh issue
81,started late because of camera issue,1,camera issue
82,only 1720 images,1,video issue
83,no pupae recs,1,pupae rec missing
84,only 447 images,1,video issue
85,camera issue; check pupae count issues,1,camera issue
86,started late because of pi issue; not enough pupae,1,general pi issue
87,started late because of camera issues,1,camera issue
88,"ssh issue; Too many, not recorded",1,ssh issue
89,Too many no counted,1,too many pupae
90,started late because of camera issue. only 152 images,1,camera issue
91,not enough pupae. Also only 1689 images,1,not enough pupae
92,"camera timeout, but check folder to see if it worked; not enough pupae",1,camera issue
93,no pupae; top of the food looks strange (pink-ish),1,not enough pupae
94,started late: only 832 images,1,video issue
95,only 1629 images,1,video issue
96,camera timeout ; not enough pupae,1,camera issue
97,started late: camera timeout,1,camera issue
98,script issue,1,script issue
99,memory issue; no pupae,1,general pi issue
100,"too many, not counted; started late, memory issue",1,too many pupae
101,duplicated count,1,pupae rec duplicate
102,"started late, camera issue; no pupae rec",1,camera issue
103,"started late, camera issue; not enough pupae",1,camera issue
104,only 1314 images; too few,1,video issue
105,"started late, camera timeout; not enough pupae",1,camera issue
106,not enough pupae; changed pi because of ssh timeout,1,not enough pupae
107,"started late, memory issue",1,general pi issue
108,camera; too many not counted,1,camera issue
109,not enough pupae; started late because of pi issues,1,not enough pupae
110,started late because of camera issue; not enough pupae,1,camera issue
111,potential camera issue,1,camera issue
112,started late because of pi issues; not enough pupae,1,general pi issue
113,note duplicate - not enough pupae?,1,pupae rec duplicate
114,note issue with pupae count number,1,pupae rec duplicate
115,not enough pupae; can't tell if it acquired image - script had an error,1,not enough pupae
116,ssh connection; too many pupae,1,ssh issue
117,"started late, changed pi because of camera issue; not enough pupae",1,camera issue
118,pi issue,1,general pi issue
119,failed because of camera issue,1,camera issue
120,changed pi because of ssh timeout; not enough pupae,1,ssh issue
121,potential camera issue; not enough pupae,1,camera issue
122,camera; pupae rec missing,1,camera issue
123,script failed,1,script issue
124,camera issue then ssh timeout,1,ssh issue
125,timed out,1,general pi issue
